,0
964,1
965,1
966,2
967,0
968,0
969,1
970,2
971,0
972,1
973,2
974,1
975,2
976,0
977,0
978,2
979,1
980,0
981,1
982,1
983,1
984,2
985,1
986,0
987,1
988,1
989,0
990,0
991,1
992,1
993,0
994,2
995,2
996,1
997,1
998,1
999,1
1000,2
1001,0
1002,1
1003,2
1004,2
1005,0
1006,0
1007,0
1008,1
1009,1
1010,2
1011,0
1012,1
1013,1
1014,0
1015,2
1016,1
1017,1
1018,2
1019,1
1020,0
1021,0
1022,0
1023,0
1024,2
1025,2
1026,1
1027,0
1028,1
1029,1
1030,0
1031,2
1032,2
1033,0
1034,0
1035,1
1036,1
1037,1
1038,0
1039,1
1040,0
1041,0
1042,1
1043,1
1044,2
1045,1
1046,1
1047,0
1048,0
1049,2
1050,0
1051,0
1052,1
1053,1
1054,1
1055,0
1056,1
1057,2
1058,0
1059,1
1060,0
1061,2
1062,1
1063,0
1064,0
1065,0
1066,2
1067,0
1068,1
1069,0
1070,0
1071,0
1072,2
1073,2
1074,0
1075,1
1076,1
1077,1
1078,0
1079,2
1080,0
1081,0
1082,1
1083,0
1084,1
1085,1
1086,0
1087,0
1088,2
1089,1
1090,1
1091,2
1092,0
1093,0
1094,1
1095,2
1096,1
1097,0
1098,0
1099,1
1100,0
1101,2
1102,1
1103,2
1104,1
1105,1
1106,2
1107,0
1108,1
1109,1
1110,2
1111,2
1112,0
1113,2
1114,0
1115,1
1116,0
1117,2
1118,0
1119,1
1120,0
1121,2
1122,0
1123,2
1124,1
1125,1
1126,1
1127,0
1128,1
1129,2
1130,1
1131,2
1132,2
1133,1
1134,2
1135,2
1136,1
1137,0
1138,1
1139,1
1140,2
1141,2
1142,2
1143,0
1144,0
1145,1
1146,2
1147,0
1148,1
1149,2
1150,2
1151,1
1152,2
1153,2
1154,1
1155,0
1156,1
1157,0
1158,0
1159,2
1160,1
1161,0
1162,0
1163,1
1164,1
1165,1
1166,1
1167,0
1168,0
1169,2
1170,0
1171,1
1172,1
1173,1
1174,1
1175,0
1176,0
1177,2
1178,1
1179,1
1180,2
1181,1
1182,1
1183,2
1184,1
1185,0
1186,0
1187,0
1188,2
1189,2
1190,2
1191,2
1192,0
1193,2
1194,1
1195,1
1196,2
1197,2
1198,1
1199,0
1200,1
1201,2
1202,2
1203,2
1204,1
1205,1
1206,0
1207,1
1208,0
1209,1
1210,2
1211,1
1212,1
1213,1
1214,0
1215,0
1216,1
1217,2
1218,2
1219,0
1220,1
1221,1
1222,2
1223,1
1224,0
1225,2
1226,1
1227,1
1228,1
1229,1
1230,0
1231,1
1232,2
1233,2
1234,2
1235,2
1236,0
1237,2
1238,1
1239,0
1240,2
1241,1
1242,2
1243,2
1244,2
1245,1
1246,1
1247,2
1248,0
1249,0
1250,1
1251,0
1252,2
1253,2
1254,1
1255,1
1256,1
1257,1
1258,2
1259,0
1260,1
1261,2
1262,0
1263,0
1264,1
1265,2
1266,1
1267,2
1268,0
1269,0
1270,1
1271,2
1272,0
1273,2
1274,1
1275,2
1276,1
1277,1
1278,0
1279,1
1280,0
1281,1
1282,2
1283,2
1284,0
1285,0
1286,0
1287,0
1288,1
1289,0
1290,1
1291,0
1292,2
1293,0
1294,0
1295,0
1296,1
1297,1
1298,0
1299,0
1300,2
1301,2
1302,0
1303,1
1304,2
1305,2
1306,1
1307,1
1308,1
1309,0
1310,2
1311,0
1312,0
1313,1
1314,2
1315,1
1316,1
1317,1
1318,0
1319,1
1320,1
1321,2
1322,1
1323,1
1324,2
1325,2
1326,2
1327,1
1328,0
1329,1
1330,1
1331,2
1332,2
1333,1
1334,2
1335,1
1336,0
1337,1
1338,2
1339,1
1340,1
1341,1
1342,1
1343,2
1344,0
1345,1
1346,0
1347,0
1348,1
1349,1
1350,0
1351,1
1352,2
1353,0
1354,0
1355,0
1356,0
1357,2
1358,0
1359,2
1360,1
1361,0
1362,1
1363,1
1364,2
1365,1
1366,1
1367,1
1368,2
1369,2
1370,1
1371,0
1372,0
1373,2
1374,2
1375,1
1376,1
1377,0
1378,0
1379,0
1380,1
1381,2
1382,1
1383,2
1384,2
1385,1
1386,1
1387,0
1388,1
1389,0
1390,2
1391,1
1392,1
1393,2
1394,1
1395,1
1396,1
1397,0
1398,0
1399,1
1400,0
1401,2
1402,2
1403,2
1404,0
1405,2
1406,2
1407,1
1408,2
1409,0
1410,1
1411,0
1412,0
1413,1
1414,1
1415,0
1416,2
1417,0
1418,1
1419,2
1420,1
1421,1
1422,0
1423,2
1424,1
1425,2
1426,1
1427,2
1428,2
1429,2
1430,0
1431,0
1432,1
1433,1
1434,1
1435,0
1436,2
1437,2
1438,0
1439,2
1440,0
1441,0
1442,0
1443,1
1444,1
1445,2
1446,0
1447,1
1448,1
1449,2
1450,0
1451,2
1452,0
1453,1
1454,0
1455,2
1456,0
1457,0
1458,1
1459,1
1460,1
1461,1
1462,1
1463,0
1464,0
1465,1
1466,0
1467,0
1468,2
1469,1
1470,1
1471,2
1472,0
1473,0
1474,1
1475,2
1476,1
1477,2
1478,2
1479,0
1480,2
1481,2
1482,1
1483,2
1484,1
1485,1
1486,0
1487,1
1488,0
1489,1
1490,1
1491,0
1492,1
1493,1
1494,2
1495,2
1496,0
1497,2
1498,1
1499,1
1500,2
1501,1
1502,2
1503,2
1504,2
1505,0
1506,2
1507,1
1508,0
1509,1
1510,1
1511,1
1512,2
1513,1
1514,2
1515,0
1516,0
1517,0
1518,1
1519,1
1520,2
1521,1
1522,2
1523,1
1524,2
1525,2
1526,2
1527,1
1528,2
1529,1
1530,0
1531,1
1532,0
1533,0
1534,1
1535,2
1536,1
1537,2
1538,1
1539,2
1540,2
1541,0
1542,2
1543,0
1544,1
1545,2
1546,2
1547,1
1548,0
1549,2
1550,2
1551,2
1552,2
1553,1
1554,1
1555,2
1556,1
1557,2
1558,0
1559,1
1560,1
1561,1
1562,2
1563,0
1564,1
1565,1
1566,2
1567,1
1568,2
1569,2
1570,1
1571,0
1572,1
1573,2
1574,2
1575,1
1576,0
1577,2
1578,0
1579,0
1580,1
1581,0
1582,1
1583,0
1584,1
1585,1
1586,0
1587,2
1588,0
1589,1
1590,2
1591,1
1592,1
1593,0
1594,1
1595,2
1596,1
1597,1
1598,2
1599,0
1600,1
1601,2
1602,2
1603,2
1604,2
1605,1
1606,1
1607,1
1608,2
1609,0
1610,1
1611,0
1612,2
1613,1
1614,1
1615,0
1616,2
1617,2
1618,1
1619,1
1620,2
1621,0
1622,0
1623,1
1624,2
1625,0
1626,2
1627,0
1628,2
1629,0
1630,2
1631,0
1632,2
1633,1
1634,1
1635,1
1636,1
1637,2
1638,2
1639,0
1640,1
1641,2
1642,1
1643,1
1644,1
1645,0
1646,0
1647,1
1648,1
1649,0
1650,2
1651,0
1652,1
1653,1
1654,1
1655,0
1656,1
1657,0
1658,1
1659,1
1660,1
1661,1
1662,0
1663,1
1664,1
1665,1
1666,2
1667,1
1668,2
1669,2
1670,2
1671,2
1672,2
1673,0
1674,1
1675,0
1676,2
1677,2
1678,0
1679,1
1680,0
1681,2
1682,0
1683,0
1684,1
1685,0
1686,0
1687,1
1688,1
1689,1
1690,0
1691,1
1692,0
1693,0
1694,0
1695,2
1696,2
1697,2
1698,0
1699,1
1700,2
1701,0
1702,1
1703,2
1704,2
1705,1
1706,1
1707,2
1708,2
1709,1
1710,1
1711,1
1712,0
1713,1
1714,1
1715,0
1716,1
1717,1
1718,0
1719,0
1720,1
1721,2
1722,2
1723,2
1724,1
1725,2
1726,1
1727,0
1728,0
1729,2
1730,2
1731,0
1732,2
1733,2
1734,0
1735,1
1736,2
1737,2
1738,0
1739,1
1740,0
1741,1
1742,1
1743,0
1744,1
1745,2
1746,1
1747,2
1748,0
1749,0
1750,1
1751,1
1752,0
1753,1
1754,1
1755,0
1756,2
1757,2
1758,0
1759,1
1760,0
1761,1
1762,2
1763,1
1764,0
1765,0
1766,0
1767,0
1768,0
1769,1
1770,2
1771,1
1772,2
1773,2
1774,1
1775,0
1776,0
1777,0
1778,1
1779,1
1780,1
1781,0
1782,1
1783,1
1784,1
1785,0
1786,0
1787,0
1788,1
1789,1
1790,1
1791,0
1792,2
1793,2
1794,2
1795,0
1796,0
1797,0
1798,0
1799,2
1800,2
1801,0
1802,2
1803,1
1804,2
1805,2
1806,2
1807,0
1808,1
1809,0
1810,0
1811,1
1812,1
1813,1
1814,0
1815,0
1816,0
1817,0
1818,0
1819,0
1820,0
1821,0
1822,1
1823,2
1824,2
1825,0
1826,2
1827,2
1828,0
1829,0
1830,2
1831,1
1832,0
1833,0
1834,1
1835,1
1836,1
1837,1
1838,1
1839,0
1840,2
1841,2
1842,0
1843,2
1844,1
1845,1
1846,1
1847,0
1848,0
1849,1
1850,0
1851,2
1852,2
1853,0
1854,1
1855,1
1856,1
1857,2
1858,2
1859,1
1860,2
1861,2
1862,1
1863,1
1864,1
1865,0
1866,0
1867,2
1868,2
1869,1
1870,1
1871,0
1872,2
1873,1
1874,2
1875,0
1876,1
1877,0
1878,0
1879,1
1880,1
1881,1
1882,0
1883,1
1884,1
1885,0
1886,0
1887,0
1888,2
1889,2
1890,1
1891,1
1892,0
1893,0
1894,1
1895,1
1896,1
1897,0
1898,2
1899,1
1900,0
1901,2
1902,1
1903,2
1904,0
1905,1
1906,0
1907,2
1908,1
1909,1
1910,0
1911,2
1912,0
1913,1
1914,0
1915,1
1916,1
1917,1
1918,1
1919,1
1920,1
1921,1
1922,2
1923,1
1924,1
1925,2
1926,2
1927,2
1928,0
1929,1
1930,2
1931,1
1932,1
1933,2
1934,2
1935,1
1936,0
1937,2
1938,1
1939,1
1940,2
1941,1
1942,1
1943,1
1944,1
1945,2
1946,2
1947,1
1948,1
1949,1
1950,0
1951,1
1952,2
1953,2
1954,1
1955,2
1956,1
1957,2
1958,2
1959,1
1960,0
1961,1
1962,2
1963,2
1964,2
1965,1
1966,1
1967,2
1968,2
1969,2
1970,0
1971,1
1972,2
1973,2
1974,0
1975,2
1976,0
1977,2
1978,0
1979,1
1980,2
1981,0
1982,0
1983,1
1984,0
1985,2
1986,0
1987,2
1988,0
1989,1
1990,0
1991,2
1992,2
1993,1
1994,2
1995,1
1996,1
1997,1
1998,1
1999,1
2000,0
2001,0
2002,0
2003,1
2004,0
2005,1
2006,2
2007,1
2008,0
2009,0
2010,1
2011,1
2012,2
2013,1
2014,0
2015,2
2016,2
2017,0
2018,0
2019,1
2020,0
2021,0
2022,0
2023,1
2024,2
2025,0
2026,0
2027,1
2028,1
2029,1
2030,1
2031,0
2032,2
2033,1
2034,1
2035,0
2036,1
2037,0
2038,1
2039,1
2040,0
2041,2
2042,1
2043,1
2044,1
2045,0
2046,0
2047,1
2048,2
2049,2
2050,0
2051,1
2052,1
2053,2
2054,1
2055,0
2056,2
2057,1
2058,2
2059,2
2060,2
2061,1
2062,1
2063,1
2064,1
2065,1
2066,1
2067,0
2068,1
2069,2
2070,1
2071,2
2072,1
2073,0
2074,1
2075,0
2076,1
2077,2
2078,0
2079,2
2080,0
2081,1
2082,2
2083,1
2084,0
2085,0
2086,2
2087,1
2088,0
2089,0
2090,0
2091,1
2092,0
2093,0
2094,2
2095,0
2096,1
2097,1
2098,0
2099,2
2100,1
2101,1
2102,1
2103,1
2104,2
2105,1
2106,1
2107,2
2108,0
2109,2
2110,2
2111,0
2112,1
2113,1
2114,0
2115,0
2116,1
2117,2
2118,1
2119,1
2120,1
2121,1
2122,2
2123,1
2124,0
2125,2
2126,2
2127,0
2128,0
2129,1
2130,2
2131,0
2132,2
2133,1
2134,0
2135,2
2136,0
2137,1
2138,0
2139,0
2140,2
2141,2
2142,1
2143,0
2144,0
2145,0
2146,0
2147,1
2148,1
2149,0
2150,2
2151,0
2152,0
2153,2
2154,0
2155,2
2156,1
2157,2
2158,0
2159,0
2160,2
2161,1
2162,2
2163,0
2164,1
2165,2
2166,1
2167,0
2168,2
2169,2
2170,0
2171,2
2172,0
2173,1
2174,0
2175,2
2176,0
2177,0
2178,2
2179,0
2180,1
2181,2
2182,1
2183,1
2184,2
2185,1
2186,1
2187,2
2188,0
2189,2
2190,2
2191,0
2192,0
2193,2
2194,1
2195,0
2196,1
2197,0
2198,1
2199,2
2200,1
2201,1
2202,1
2203,1
2204,0
2205,2
2206,1
2207,2
2208,0
2209,0
2210,2
2211,1
2212,1
2213,1
2214,1
2215,0
2216,0
2217,1
2218,2
2219,1
2220,1
2221,1
2222,1
2223,1
2224,2
2225,2
2226,0
2227,0
2228,1
2229,1
2230,2
2231,1
2232,0
2233,1
2234,2
2235,1
2236,0
2237,1
2238,2
2239,0
2240,1
2241,1
2242,1
2243,1
2244,2
2245,1
2246,0
2247,0
2248,2
2249,0
2250,0
2251,1
2252,2
2253,0
2254,1
2255,2
2256,2
2257,2
2258,1
2259,0
2260,2
2261,1
2262,1
2263,1
2264,2
2265,1
2266,1
2267,1
2268,0
2269,1
2270,1
2271,0
2272,1
2273,2
2274,2
2275,2
2276,1
2277,2
2278,2
2279,1
2280,2
2281,0
2282,1
2283,2
2284,0
2285,0
2286,2
2287,2
2288,0
2289,0
2290,1
2291,0
2292,1
2293,1
2294,0
2295,1
2296,1
2297,0
2298,0
2299,2
2300,1
2301,0
2302,0
2303,1
2304,2
2305,2
2306,2
2307,2
2308,0
2309,0
2310,2
2311,1
2312,1
2313,0
2314,2
2315,1
2316,2
2317,1
2318,1
2319,1
2320,2
2321,2
2322,2
2323,0
2324,1
2325,0
2326,1
2327,1
2328,1
2329,0
2330,2
2331,1
2332,0
2333,2
2334,1
2335,1
2336,1
2337,0
2338,2
2339,1
2340,0
2341,1
2342,1
2343,0
2344,2
2345,1
2346,0
2347,0
2348,2
2349,2
2350,1
2351,0
2352,1
2353,2
2354,2
2355,2
2356,1
2357,1
2358,2
2359,1
2360,2
2361,2
2362,0
2363,2
2364,2
2365,2
2366,1
2367,0
2368,1
2369,1
2370,1
2371,1
2372,2
2373,0
2374,1
2375,1
2376,0
2377,1
2378,1
2379,2
2380,1
2381,0
2382,1
2383,2
2384,2
2385,1
2386,0
2387,1
2388,1
2389,1
2390,2
2391,1
2392,1
2393,1
2394,0
2395,1
2396,1
2397,0
2398,1
2399,2
2400,1
2401,0
2402,1
2403,1
2404,1
2405,1
2406,2
2407,2
2408,1
2409,0
2410,1
2411,1
2412,1
2413,2
2414,2
2415,2
2416,0
2417,2
2418,1
2419,1
2420,2
2421,0
2422,0
2423,2
2424,2
2425,1
2426,1
2427,1
2428,0
2429,1
2430,1
2431,0
2432,1
2433,2
2434,0
2435,1
2436,2
2437,1
2438,1
2439,0
2440,2
2441,1
2442,2
2443,1
2444,1
2445,0
2446,0
2447,1
2448,1
2449,1
2450,2
2451,1
2452,0
2453,2
2454,1
2455,0
2456,0
2457,1
2458,0
2459,2
2460,0
2461,1
2462,1
2463,2
2464,1
2465,1
2466,0
2467,0
2468,1
2469,0
2470,1
2471,2
2472,1
2473,0
2474,1
2475,1
2476,2
2477,0
2478,1
2479,1
2480,2
2481,1
2482,2
2483,1
2484,0
2485,2
2486,1
2487,0
2488,1
2489,0
2490,0
2491,0
2492,2
2493,2
2494,1
2495,1
2496,0
2497,0
2498,0
2499,2
2500,0
2501,0
2502,0
2503,0
2504,0
2505,2
2506,2
2507,0
2508,2
2509,2
2510,1
2511,2
2512,0
2513,2
2514,2
2515,2
2516,2
2517,1
2518,1
2519,2
2520,1
2521,0
2522,1
2523,1
2524,1
2525,2
2526,0
2527,2
2528,1
2529,2
2530,1
2531,2
2532,1
2533,0
2534,2
2535,1
2536,2
2537,1
2538,0
2539,1
2540,1
2541,1
2542,0
2543,0
2544,0
2545,1
2546,0
2547,1
2548,0
2549,1
2550,1
2551,2
2552,1
2553,1
2554,0
2555,0
2556,1
2557,1
2558,1
2559,2
2560,2
2561,2
2562,0
2563,1
2564,1
2565,1
2566,0
2567,2
2568,2
2569,1
2570,2
2571,0
2572,2
2573,0
2574,0
2575,2
2576,1
2577,0
2578,1
2579,2
2580,0
2581,1
2582,0
2583,0
2584,2
2585,0
2586,2
2587,1
2588,1
2589,1
2590,1
2591,1
2592,0
2593,2
2594,1
2595,0
2596,0
2597,2
2598,0
2599,2
2600,1
2601,2
2602,0
2603,2
2604,1
2605,1
2606,2
2607,1
2608,1
2609,2
2610,1
2611,0
2612,2
2613,0
2614,2
2615,1
2616,1
2617,1
2618,1
2619,1
2620,2
2621,2
2622,0
2623,1
2624,1
2625,1
2626,2
2627,0
2628,0
2629,2
2630,2
2631,1
2632,0
2633,0
2634,1
2635,0
2636,0
2637,0
2638,1
2639,1
2640,1
2641,0
2642,2
2643,1
2644,1
2645,1
2646,0
2647,2
2648,0
2649,1
2650,2
2651,1
2652,1
2653,0
2654,2
2655,1
2656,1
2657,1
2658,0
2659,0
2660,1
2661,0
2662,1
2663,1
2664,1
2665,1
2666,1
2667,1
2668,2
2669,0
2670,0
2671,2
2672,0
2673,0
2674,0
2675,1
2676,0
2677,1
2678,2
2679,0
2680,0
2681,0
2682,0
2683,0
2684,1
2685,2
2686,0
2687,1
2688,1
2689,1
2690,0
2691,0
2692,1
2693,0
2694,1
2695,1
2696,0
2697,0
2698,2
2699,2
2700,0
2701,0
2702,2
2703,2
2704,0
2705,2
2706,0
2707,0
2708,1
2709,0
2710,1
2711,1
2712,0
2713,2
2714,2
2715,2
2716,1
2717,2
2718,1
2719,2
2720,0
2721,2
2722,2
2723,2
2724,0
2725,1
2726,2
2727,1
2728,0
2729,2
2730,0
2731,2
2732,0
2733,1
2734,1
2735,2
2736,1
2737,2
2738,0
2739,1
2740,1
2741,0
2742,0
2743,0
2744,2
2745,0
2746,2
2747,0
2748,1
2749,1
2750,1
2751,1
2752,0
2753,1
2754,0
2755,0
2756,1
2757,0
2758,2
2759,0
2760,1
2761,0
2762,2
2763,1
2764,2
2765,1
2766,2
2767,1
2768,0
2769,0
2770,1
2771,1
2772,0
2773,2
2774,1
2775,1
2776,2
2777,1
2778,0
2779,0
2780,2
2781,1
2782,1
2783,0
2784,0
2785,2
2786,2
2787,2
2788,0
2789,2
2790,2
2791,1
2792,2
2793,1
2794,0
2795,2
2796,0
2797,2
2798,0
2799,2
2800,1
2801,1
2802,2
2803,1
2804,0
2805,0
2806,0
2807,0
2808,1
2809,1
2810,1
2811,1
2812,2
2813,0
2814,1
2815,1
2816,1
2817,2
2818,2
2819,0
2820,1
2821,0
2822,0
2823,0
2824,2
2825,0
2826,2
2827,2
2828,1
2829,0
2830,0
2831,0
2832,2
2833,1
2834,2
2835,2
2836,0
2837,2
2838,0
2839,2
2840,1
2841,1
2842,2
2843,1
2844,1
2845,1
2846,2
2847,0
2848,2
2849,0
2850,1
2851,1
2852,2
2853,1
2854,1
2855,2
2856,2
2857,1
2858,2
2859,1
2860,2
2861,0
2862,0
2863,2
2864,2
2865,0
2866,1
2867,2
2868,0
2869,2
2870,1
2871,2
2872,1
2873,1
2874,2
2875,2
2876,1
2877,1
2878,2
2879,0
2880,0
2881,1
2882,0
2883,1
2884,0
2885,2
2886,2
2887,1
2888,1
2889,0
2890,2
2891,1
2892,0
2893,1
2894,0
2895,1
2896,2
2897,1
2898,0
2899,1
2900,1
2901,0
2902,2
2903,0
2904,0
2905,0
2906,1
2907,1
2908,2
2909,2
2910,1
2911,1
2912,1
2913,0
2914,1
2915,1
2916,2
2917,0
2918,0
2919,1
2920,1
2921,0
2922,2
2923,0
2924,0
2925,2
2926,1
2927,0
2928,0
2929,1
2930,0
2931,2
2932,0
2933,2
2934,1
2935,0
2936,0
2937,1
2938,1
2939,1
2940,1
2941,1
2942,0
2943,1
2944,1
2945,2
2946,1
2947,1
2948,2
2949,0
2950,1
2951,1
2952,1
2953,2
2954,2
2955,2
2956,1
2957,0
2958,0
2959,0
2960,0
2961,1
2962,1
2963,0
2964,0
2965,1
2966,1
2967,1
2968,0
2969,2
2970,2
2971,1
2972,0
2973,1
2974,2
2975,2
2976,0
2977,2
2978,0
2979,1
2980,0
2981,2
2982,2
2983,0
2984,1
2985,1
2986,1
2987,0
2988,1
2989,0
2990,2
2991,1
2992,2
2993,1
2994,1
2995,2
2996,1
2997,2
